index,street_raw,street
00575.jpg,80 flower,flower
00563.jpg,so. hower.,flower
00582.jpg,so. i lower.,flower
00584.jpg,west first,west
00587.jpg,jo. flower,flower
00566.jpg,so. i lower.,flower
00580.jpg,"west
first",west
00562.jpg,so. flower,flower
00572.jpg,"west
first",west
00560.jpg,10. flowe,flower
00591.jpg,so. ilawver.,flower
00594.jpg,s. clay,clay
00590.jpg,west first,west
00596.jpg,clay,clay
00593.jpg,"so, i lower.",flower
00607.jpg,,west
00595.jpg,hers,west
00623.jpg,clay,clay
00610.jpg,chay,clay
00600.jpg,clay,clay
00602.jpg,clay,clay
00599.jpg,chay,clay
00615.jpg,s. clay,clay
00618.jpg,clay,clay
00622.jpg,s. clay,clay
00597.jpg,clay,clay
00617.jpg,clay,clay
00592.jpg,west first,west
00603.jpg,s. clay,clay
00614.jpg,s. clay,clay
00605.jpg,clay,clay
00609.jpg,clay,clay
00608.jpg,chay,clay
00619.jpg,clay,clay
00611.jpg,2/2,west
00620.jpg,the 15,hope
00626.jpg,clay,clay
00621.jpg,clay,clay
00625.jpg,clay,clay
00624.jpg,clay,clay
00616.jpg,clay,clay
00613.jpg,"clay
(south",clay
00628.jpg,clay,clay
00612.jpg,clay,clay
00606.jpg,clay,clay
00627.jpg,hoto,hope
00632.jpg,@bay,clay
00633.jpg,clay,clay
00634.jpg,clay,clay
00638.jpg,chay,clay
00641.jpg,clay st.,clay
00646.jpg,chay,clay
00636.jpg,chay,clay
00639.jpg,chax,clay
00645.jpg,"chay
l",clay
00635.jpg,clay,clay
00643.jpg,clay,clay
00642.jpg,clay,clay
00647.jpg,clay,clay
00637.jpg,clay,clay
00640.jpg,clay,clay
00652.jpg,chay,clay
00649.jpg,clay,clay
00653.jpg,clay,clay
00651.jpg,clay,clay
00648.jpg,clay,clay
00665.jpg,chay,clay
00660.jpg,clay st.,clay
00667.jpg,clay,clay
00662.jpg,clay,clay
00669.jpg,clay,clay
00656.jpg,help,hope
00654.jpg,chay,clay
00655.jpg,clay st.,clay
00661.jpg,clay,clay
00657.jpg,clay,clay
00668.jpg,chay,clay
00663.jpg,chay,clay
00666.jpg,hep,hope
00670.jpg,heto,west
00659.jpg,chay,clay
00658.jpg,teto,west
00664.jpg,clay,clay
00683.jpg,10. flowve,flower
00692.jpg,so. figueroa,figueroa
00674.jpg,clay,clay
00673.jpg,clay,clay
00680.jpg,clay,clay
00677.jpg,clay,clay
00682.jpg,so. fiqueron.,figueroa
00676.jpg,clay,clay
00672.jpg,chay,clay
00678.jpg,chay,clay
00675.jpg,s. clay,clay
00679.jpg,clay,clay
00689.jpg,alpine st,west
00671.jpg,chay,clay
00681.jpg,so. hower,flower
00693.jpg,figueroa,figueroa
00695.jpg,"sflower,",flower
00696.jpg,30. flower,flower
00694.jpg,50.flower,flower
00704.jpg,so. flower,flower
00698.jpg,flower st,flower
00702.jpg,so. flower,flower
00701.jpg,s.flower,flower
00700.jpg,so. flowery se,flower
00699.jpg,so flower st,flower
00706.jpg,flower,flower
00705.jpg,0.,west
00708.jpg,so. flower,flower
00709.jpg,50. flower,flower
00711.jpg,so.flower,flower
00710.jpg,5o. flower.,flower
00707.jpg,flower,flower
00723.jpg,so flower,flower
00719.jpg,s. flower,flower
00724.jpg,so. flower st.,flower
00720.jpg,so flower,flower
00718.jpg,flower se,flower
00713.jpg,so. flower,flower
00729.jpg,so. flower st.,flower
00726.jpg,"so, i lower.",flower
00728.jpg,mops,hope
00730.jpg,so. flower,flower
00725.jpg,so. flower,flower
00717.jpg,50. flower,flower
00712.jpg,s. flower,flower
00721.jpg,so. flower st.,flower
00722.jpg,"s.flower
s",flower
00715.jpg,so. flower st.,flower
00731.jpg,sa flower st,flower
00732.jpg,so. flower,flower
00734.jpg,so. flower st,flower
00737.jpg,so. flower st,flower
00740.jpg,so. flower,flower
00744.jpg,"so. flower, st.",flower
00738.jpg,30. flower st.,flower
00735.jpg,flower se,flower
00733.jpg,s.flower,flower
00736.jpg,so. flower str,flower
00745.jpg,so. flower,flower
00748.jpg,so. flower. st.,flower
00743.jpg,sa flowe st.,flower
00747.jpg,so. flower,flower
00746.jpg,soflower,flower
00741.jpg,flower str,flower
00752.jpg,50. flower,flower
00753.jpg,so. i lower.,flower
00751.jpg,so. flowe. st,flower
00749.jpg,flower st,flower
00750.jpg,50. flower,flower
00755.jpg,so. flower,flower
00757.jpg,so. flower st.,flower
00756.jpg,s. flower,flower
00760.jpg,so. flower,flower
00758.jpg,"-so. flower
st",flower
00764.jpg,50. flower st,flower
00762.jpg,so. flower st,flower
00767.jpg,so. flowej st.,flower
00765.jpg,flowers,flower
00759.jpg,so. flow r,flower
00766.jpg,so. flower st.,flower
00761.jpg,"s. flower
n",flower
00772.jpg,"so, flower",flower
00776.jpg,s. flower,flower
00788.jpg,"s. flower
s",flower
00774.jpg,s.flower,flower
00783.jpg,so. flower st,flower
00789.jpg,so. flower st,flower
00787.jpg,flower se,flower
00779.jpg,so. flower s,flower
00780.jpg,so. flower,flower
00790.jpg,flower se,flower
00778.jpg,30 flower st,flower
00773.jpg,sd. fhower,flower
00771.jpg,s. flower,flower
00770.jpg,s. flower,flower
00785.jpg,so.flower,flower
00782.jpg,flower,flower
00791.jpg,so. flower st.,flower
00784.jpg,so. flower st.,flower
00775.jpg,so. flower,flower
00769.jpg,so. flower,flower
00799.jpg,ilower.,flower
00800.jpg,sp. flower sf,flower
00798.jpg,so. flower,flower
00801.jpg,so. flower,flower
00794.jpg,bo.flower,flower
00792.jpg,"selower
s",flower
00793.jpg,so. flower st.,flower
00802.jpg,so.flower,flower
00795.jpg,so. flower,flower
00797.jpg,"so
flower",flower
00805.jpg,so. flower,flower
00803.jpg,so. flower st,flower
00809.jpg,s. flower,flower
00806.jpg,so. flower st.,flower
00814.jpg,s. flower,flower
00811.jpg,"so.flo wer
st",flower
00808.jpg,flower f,flower
00823.jpg,s. flower,flower
00822.jpg,"so. flower
s.t.",flower
00815.jpg,s. flowpr,flower
00839.jpg,flower,flower
00819.jpg,so. flower st.,flower
00840.jpg,so flower st.,flower
00827.jpg,so. flower st,flower
00837.jpg,50. flower,flower
00825.jpg,so. flower,flower
00831.jpg,so. flower,flower
00832.jpg,s. flowcr,flower
00845.jpg,s. flower,flower
00818.jpg,s. flower,flower
00820.jpg,"s. flow cr
v",flower
00828.jpg,50. flower st,flower
00835.jpg,so. flower st.,flower
00816.jpg,s. flower,flower
00841.jpg,flowers,flower
00810.jpg,so. flower st.,flower
00813.jpg,s. flower.,flower
00844.jpg,so flower st.,flower
00817.jpg,"50.flower
st",flower
00829.jpg,so flower st.,flower
00834.jpg,flower,flower
00833.jpg,so. flower st,flower
00842.jpg,so. flower,flower
00821.jpg,flower sf,flower
00846.jpg,so flower.,flower
00849.jpg,so. flower st,flower
00847.jpg,flower,flower
00857.jpg,so.flower,flower
00858.jpg,sp. floweet.,flower
00850.jpg,50. flower st,flower
00852.jpg,so. flower,flower
00853.jpg,flower,flower
00859.jpg,so.flower,flower
00856.jpg,so. flower st.,flower
00869.jpg,so. flower,flower
00867.jpg,so. flower,flower
00860.jpg,so flower,flower
00866.jpg,so flower,flower
00870.jpg,"do.
flower",flower
00863.jpg,so. flower st,flower
00865.jpg,s. flower,flower
00862.jpg,so. flower,flower
00864.jpg,so. flower st,flower
00871.jpg,50. flower,flower
00877.jpg,30. flower,flower
00898.jpg,"s. flower
n",flower
00887.jpg,flower se,flower
00878.jpg,so. flower st,flower
00874.jpg,flower,flower
00889.jpg,so flower sf.,flower
00888.jpg,flower se,flower
00875.jpg,"so. flower
st",flower
00876.jpg,"so. flower
st",flower
00881.jpg,so. flower.,flower
00873.jpg,so. flower,flower
00893.jpg,so flower,flower
00884.jpg,50. flower,flower
00872.jpg,sp. flower st.,flower
00886.jpg,sp. flowe - st.,flower
00882.jpg,so. flower st.,flower
00895.jpg,so flower,flower
00879.jpg,flower se,flower
00894.jpg,so. flower,flower
00900.jpg,"s.flower
s",flower
00897.jpg,50. flower,flower
00901.jpg,so. flower,flower
00908.jpg,so flower st,flower
00906.jpg,so. flower,flower
00914.jpg,80. i lower.,flower
00913.jpg,so. flower,flower
00907.jpg,so flower st.,flower
00918.jpg,so. flower st,flower
00917.jpg,50. flower,flower
00903.jpg,so. flower st,flower
00912.jpg,50. flower,flower
00902.jpg,50. flower,flower
00904.jpg,so. flower,flower
00905.jpg,s. flower,flower
00911.jpg,so-flower,flower
00910.jpg,flower,flower
00909.jpg,so. flower,flower
00915.jpg,so. flower st,flower
00921.jpg,so. flower,flower
00922.jpg,so. flower,flower
00923.jpg,90.flower st.,flower
00933.jpg,flower se,flower
00927.jpg,flower,flower
00926.jpg,so flower,flower
00932.jpg,so flower st.,flower
00930.jpg,so. flower st.,flower
00924.jpg,so. flower st,flower
00925.jpg,so. flower,flower
00931.jpg,s. flower,flower
00919.jpg,so. flower,flower
00928.jpg,so. flower-st.,flower
00934.jpg,so. flower,flower
00939.jpg,so. flower,flower
00935.jpg,so. flower.,flower
00938.jpg,so.flower,flower
00951.jpg,"s. flower
s",flower
00950.jpg,comotes,west
00944.jpg,s. flower,flower
00954.jpg,so. flower st,flower
00942.jpg,flower st,flower
00955.jpg,flower str,flower
00946.jpg,so. flower,flower
00948.jpg,so. flower st.,flower
00943.jpg,sq. flower,flower
00945.jpg,so. flower st.,flower
00956.jpg,so. flower str,flower
00952.jpg,so.flower,flower
00957.jpg,so. flower st.,flower
00969.jpg,so. flower se,flower
00953.jpg,so flower st.,flower
00972.jpg,"s. flower
s",flower
00958.jpg,so flower,flower
00962.jpg,so. flower,flower
00968.jpg,s. flower,flower
00966.jpg,flower st.-,flower
00963.jpg,s. flower,flower
00973.jpg,so.flower,flower
00964.jpg,so flower st,flower
00960.jpg,so. flower st.,flower
00959.jpg,so.flower,flower
00961.jpg,"s. flower
n",flower
00965.jpg,so. flower,flower
00970.jpg,so. flower.,flower
00949.jpg,s. flower,flower
00967.jpg,s. flower,flower
00940.jpg,so. flower,flower
00974.jpg,so. flowe's. st.,flower
00975.jpg,s. flower,flower
00976.jpg,so. flower se,flower
00980.jpg,so. flower.,flower
00983.jpg,so. flower se,flower
00981.jpg,50. flower,flower
00988.jpg,flower,flower
00990.jpg,so. flower st,flower
00989.jpg,sp. flower st.,flower
00985.jpg,so. flower,flower
00982.jpg,flower st,flower
01010.jpg,so flower,flower
01000.jpg,"50. flower
st",flower
01008.jpg,"s. flower.
s",flower
00997.jpg,so. flower,flower
00999.jpg,so. flower,flower
00995.jpg,so. flower st,flower
00991.jpg,s. flowcr,flower
01014.jpg,so. flower st,flower
00984.jpg,so. flower,flower
01001.jpg,so flower st,flower
01002.jpg,so. flower,flower
01007.jpg,flower st,flower
01011.jpg,flower se,flower
00992.jpg,jo. i lower,flower
01013.jpg,so. flower,flower
00993.jpg,"so. flower
st.",flower
00979.jpg,jo. flower,flower
01015.jpg,s.flower,flower
00998.jpg,so. flower,flower
01004.jpg,flower se,flower
01005.jpg,so. flower,flower
01006.jpg,"s. flowpr
s
150",flower
01003.jpg,s.flo wor,flower
01016.jpg,"so. flower
st",flower
01017.jpg,flower se,flower
01018.jpg,pos,west
01024.jpg,so. flower,flower
01019.jpg,so. flower,flower
01023.jpg,so. flower,flower
01026.jpg,0 flowe,flower
01022.jpg,s. flower,flower
01021.jpg,30.flower st,flower
01028.jpg,flower,flower
01031.jpg,-so. flower st,flower
01045.jpg,so flower st,flower
01041.jpg,flower,flower
01039.jpg,so. i lower,flower
01034.jpg,flower,flower
01051.jpg,so. flower st.,flower
01038.jpg,so. flower se,flower
01054.jpg,so flower.st,flower
01033.jpg,s. flower,flower
01032.jpg,so.flower st.,flower
