index,street_raw,street,street_no,apartment_no,race_of_household
00582.jpg,so. i lower.,flower,,(st. floor.,white
00580.jpg,"west
first",west,812,apt no. 7 2nd flow,white
00588.jpg,"so. fiqueron.
7",figueroa,116 rea,1 st. flow south,white
00585.jpg,flower,flower,,om no. 4-2nd flo,white
00584.jpg,west first,west,820,apt. no. 36-3rd flo,white
00587.jpg,jo. flower,flower,lei,,white
00583.jpg,flower,flower,119,ipt. no. 1- south,white
00589.jpg,west first,west,812,apt. no. 3. 1st. henr.,white
00586.jpg,"so, flower",flower,sii,1st. floor northe,white
00592.jpg,west first,west,820,room no. 15a - 2nd fl-,white
00593.jpg,"so, i lower.",flower,105,2nd floor south wes,white
00590.jpg,west first,west,820,room no.10. /st. flo,white
00595.jpg,hers,west,306,"14
2d floor",white
00591.jpg,so. ilawver.,flower,105%2,room no... - 1st flo,white
00594.jpg,s. clay,clay,219,c-north east - 2nd flo,white
00597.jpg,clay,clay,331-335,,white
00596.jpg,clay,clay,328/2,"a
upper- reap",white
00605.jpg,clay,clay,310,"base me
plook",white
00603.jpg,s. clay,clay,219,"d-south east-2""",white
00599.jpg,chay,clay,331-335,23185,white
00606.jpg,clay,clay,306,"77
29 f10011",white
00602.jpg,clay,clay,306,"15
20 flook
r",white
00600.jpg,clay,clay,331-335-,23183,white
00608.jpg,chay,clay,331-335,"16182
a",white
00607.jpg,,west,331-335,,white
00613.jpg,"clay
(south",clay,219,"f-
south east
- 1st",white
00614.jpg,s. clay,clay,219,north west - 2nd,white
00617.jpg,clay,clay,306,,white
00615.jpg,s. clay,clay,219,forth west - third floor,white
00611.jpg,2-Feb,west,306,"16
2d floor",white
00609.jpg,clay,clay,331-335,100,white
00616.jpg,clay,clay,306,"lower
level",white
00612.jpg,clay,clay,306,"71
1st floor",white
00610.jpg,chay,clay,331-335,&,white
00621.jpg,clay,clay,306,base ment floor,white
00622.jpg,s. clay,clay,219,south west- 3rd floo,white
00618.jpg,clay,clay,331-335,12,white
00633.jpg,clay,clay,345,23184,white
00627.jpg,hoto,hope,30.6,"2
lower
lever",white
00624.jpg,clay,clay,306,"3
lower
love/",white
00626.jpg,clay,clay,331-335,,white
00625.jpg,clay,clay,331-335,23191,white
00634.jpg,clay,clay,330/2,no. side - lower,white
00635.jpg,clay,clay,332/2,"687
2d floor",white
00619.jpg,clay,clay,331-335,"6
23192",white
00628.jpg,clay,clay,306,po,white
00620.jpg,the 15,hope,90e,"12
1st moor",white
00632.jpg,@bay,clay,331-335,335 floor,white
00623.jpg,clay,clay,306,"a
1st floor",white
00640.jpg,clay,clay,332,7408,white
00637.jpg,clay,clay,345,"109
23182",white
00645.jpg,"chay
l",clay,345,"207
2316",white
00641.jpg,clay st.,clay,350,front,white
00643.jpg,clay,clay,331-335,19,white
00636.jpg,chay,clay,331-335,22,white
00639.jpg,chax,clay,381-335,"33/
1 floor",white
00638.jpg,chay,clay,3,23183,white
00642.jpg,clay,clay,3322,1th rear 2d floor,white
00649.jpg,clay,clay,332/2,front 21 fla,white
00648.jpg,clay,clay,354,front,white
00653.jpg,clay,clay,331-335,"21
34466",white
00656.jpg,help,hope,332/2,"5
2d floor front",white
00647.jpg,clay,clay,334 12,"pont
1st floor",white
00651.jpg,clay,clay,345,"209
23168",white
00652.jpg,chay,clay,331-335,20,white
00655.jpg,clay st.,clay,340,front,white
00658.jpg,teto,west,345,306,white
00646.jpg,chay,clay,331-335,8,white
00657.jpg,clay,clay,334,"front
mgr.",white
00654.jpg,chay,clay,345,18,white
00667.jpg,clay,clay,,,white
00664.jpg,clay,clay,345,308,white
00665.jpg,chay,clay,-345,"07
23180",white
00669.jpg,clay,clay,306,"21
3d floor",white
00660.jpg,clay st.,clay,338-336,front,white
00661.jpg,clay,clay,328/2,pper-front,white
00668.jpg,chay,clay,345,60e,white
00662.jpg,clay,clay,345,"106
23179",white
00666.jpg,hep,hope,328/2,"n
2.
24 hoor",white
00677.jpg,clay,clay,306,3d floor,white
00673.jpg,clay,clay,306,"6
lower level",white
00670.jpg,heto,west,306,"n
lower level",white
00659.jpg,chay,clay,345,305,white
00672.jpg,chay,clay,331-335,,white
00663.jpg,chay,clay,345,307,white
00674.jpg,clay,clay,306,"20
jo",white
00671.jpg,chay,clay,331-335,21,white
00676.jpg,clay,clay,219,e-north east-,white
00679.jpg,clay,clay,331-335,88186,white
00689.jpg,alpine st,west,,,
00678.jpg,chay,clay,331-335,"room a
23187",white
00682.jpg,so. fiqueron.,figueroa,108,"apt. no. 16-2²
flo",white
00701.jpg,s.flower,flower,330,60= 4 floor kra-,white
00681.jpg,so. hower,flower,125,st. floor worth,white
00675.jpg,s. clay,clay,-2.19,south west - 2,white
00680.jpg,clay,clay,306,"19
34 flook",white
00692.jpg,so. figueroa,figueroa,108,room no.15 2nd flo,white
00693.jpg,figueroa,figueroa,801,apt. no.1- / st floo,white
00683.jpg,10. flowve,flower,ext,2nd flo,white
00694.jpg,50.flower,flower,210,"apt 409
1147",white
00709.jpg,50. flower,flower,ofe,apt # 514,white
00707.jpg,flower,flower,219,310,white
00696.jpg,30. flower,flower,236,"apt. # 32-
4th floor",white
00699.jpg,so flower st,flower,237,"216
408",white
00695.jpg,"sflower,",flower,368,"20, 2
too gooding oc",white
00705.jpg,0,west,///,1.floor south (ter,white
00698.jpg,flower st,flower,219,2071,white
00708.jpg,so. flower,flower,224,"apt. 36
1113",white
00704.jpg,so. flower,flower,517-519,Mar-00,white
00706.jpg,flower,flower,219,214,white
00702.jpg,so. flower,flower,129,st floor north,white
00700.jpg,so. flowery se,flower,247-51,"a
2211",white
00711.jpg,so.flower,flower,-210,apt. 502,white
00718.jpg,flower se,flower,biz,307,white
00715.jpg,so. flower st.,flower,230,"apt #
19",white
00721.jpg,so. flower st.,flower,237,209,white
00713.jpg,so. flower,flower,,apt. # 10.,white
00720.jpg,so flower,flower,210,apt # 2/1,white
00712.jpg,s. flower,flower,306,2nd floor non-,white
00717.jpg,50. flower,flower,224,"apt. 24
143",white
00710.jpg,5o. flower.,flower,129,"toom no. 3-2 flo
/",white
00719.jpg,s. flower,flower,308,the world c,white
00726.jpg,"so, i lower.",flower,105,2nd flow south wes,white
00728.jpg,mops,hope,577,246 ds. jlower aft 2,white
00723.jpg,so flower,flower,210,105,white
00722.jpg,"s.flower
s",flower,330,"no forten 8.
-st",white
00724.jpg,so. flower st.,flower,247-51,lo,white
00729.jpg,so. flower st.,flower,234,"apt. # 39
40% flowe",white
00730.jpg,so. flower,flower,517-519,"300
3d floor",white
00731.jpg,sa flower st,flower,,"apt. #1
1st floor",white
00735.jpg,flower se,flower,219,513,white
00734.jpg,so. flower st,flower,240,"240.
50. flower apt.",white
00736.jpg,so. flower str,flower,223,c,white
00725.jpg,so. flower,flower,517-519,"101
1st floor",white
00732.jpg,so. flower,flower,224,apt. 17,white
00733.jpg,s.flower,flower,318,"31, 3 ru floor cer",white
00737.jpg,so. flower st,flower,223,p,white
00738.jpg,30. flower st.,flower,236,"apt. 26
3rd floor",white
00745.jpg,so. flower,flower,517-519,re,white
00743.jpg,sa flowe st.,flower,26 75,,white
00741.jpg,flower str,flower,219,405,white
00747.jpg,so. flower,flower,107,st. floor north,white
00746.jpg,soflower,flower,230,apt. #12,white
00744.jpg,"so. flower, st.",flower,240,"apt#3
2nd floor.",white
00748.jpg,so. flower. st.,flower,248-250,"apt # 4
2nd floor",white
00740.jpg,so. flower,flower,224,"apt
21",white
00749.jpg,flower st,flower,219,308,white
00750.jpg,50. flower,flower,224,apt,white
00753.jpg,so. i lower.,flower,113,1st. i lovor.,white
00752.jpg,50. flower,flower,230,apt. # 8,white
00751.jpg,so. flowe. st,flower,237,"381
410",white
00758.jpg,#NAME?,flower,236,"apt 10
2nd flow",white
00757.jpg,so. flower st.,flower,-298,"cete
o",white
00762.jpg,so. flower st,flower,245,"[[b
t",white
00755.jpg,so. flower,flower,247-57,0,white
00759.jpg,so. flow r,flower,236,"apt #34
4th flo",white
00760.jpg,so. flower,flower,-298,"cie
9/2",white
00765.jpg,flowers,flower,219,217,white
00764.jpg,50. flower st,flower,248-250,"apt #
tall hoor",white
00766.jpg,so. flower st.,flower,237,"306
409",white
00761.jpg,"s. flower
n",flower,336,"205=
2
floor",white
00756.jpg,s. flower,flower,336,"401 4-floor, front-",white
00773.jpg,sd. fhower,flower,224,"apt. #
3",white
00769.jpg,so. flower,flower,517-519,209,white
00772.jpg,"so, flower",flower,236,apt # 41,white
00767.jpg,so. flowej st.,flower,237,4057,white
00771.jpg,s. flower,flower,330,"56= 4th floor, (cnic",white
00776.jpg,s. flower,flower,318,5. first floor conic,white
00770.jpg,s. flower,flower,306,3- 2nd floor eas/,white
00778.jpg,30 flower st,flower,244,"apt #3
i
2nd how",white
00775.jpg,so. flower,flower,210,apt 506,white
00783.jpg,so. flower st,flower,248-250,"apt*i
21
ave",white
00779.jpg,so. flower s,flower,245,419,white
00782.jpg,flower,flower,219,3-Mar,white
00774.jpg,s.flower,flower,"no.
318","ation
no floor ce
25. 2.",
00787.jpg,flower se,flower,,5-May,white
00780.jpg,so. flower,flower,230,apt # 34,white
00792.jpg,"selower
s",flower,336,"210, 2nd floor.",white
00785.jpg,so.flower,flower,78,apt. 208,white
00794.jpg,bo.flower,flower,0.224,apt 33 11453,white
00784.jpg,so. flower st.,flower,237,"207
407",white
00795.jpg,so. flower,flower,212/2 r,11460,white
00789.jpg,so. flower st,flower,248-250,"apt #2
20",white
00791.jpg,so. flower st.,flower,245,4,white
00799.jpg,ilower.,flower,103,"toom no.1.
2nd floo",white
00809.jpg,s. flower,flower,336,407 4th floor,white
00797.jpg,"so
flower",flower,103,room no. 2-2,white
00801.jpg,so. flower,flower,5/7-519,107,white
00788.jpg,"s. flower
s",flower,318,"15. 2nd floor, fron!",white
00793.jpg,so. flower st.,flower,237,"nect
408",white
00790.jpg,flower se,flower,672,201,white
00798.jpg,so. flower,flower,517-519,108,white
00811.jpg,"so.flo wer
st",flower,236,"apt # 23
3d res",white
00805.jpg,so. flower,flower,224,"apt.
14",white
00800.jpg,sp. flower sf,flower,lel,"114
eudu",white
00813.jpg,s. flower.,flower,318,"ho
for the te",white
00802.jpg,so.flower,flower,210,"24th
11970",white
00810.jpg,so. flower st.,flower,223,,white
00806.jpg,so. flower st.,flower,goy,"2019
205",white
00818.jpg,s. flower,flower,-318,"24, 2nd floor conte",white
00808.jpg,flower f,flower,219,302,white
00817.jpg,"50.flower
st",flower,244,dasement,white
00803.jpg,so. flower st,flower,240,"apt. 7
basement",white
00814.jpg,s. flower,flower,7ee,411= 4th floor,white
00816.jpg,s. flower,flower,308,"1107 80071 st b
da",mexican
00822.jpg,"so. flower
s.t.",flower,248-250,"apt # 2
let the",white
00820.jpg,"s. flow cr
v",flower,336,"304, 3rd floor",white
00831.jpg,so. flower,flower,238,"apt.
*
3",white
00821.jpg,flower sf,flower,,119,white
00832.jpg,s. flowcr,flower,336,"408,
4th floor",white
00828.jpg,50. flower st,flower,248-250,apt s. basement,white
00825.jpg,so. flower,flower,517-519,"208
20 plool",white
00827.jpg,so. flower st,flower,stroy,,white
00819.jpg,so. flower st.,flower,245,"50
413",white
00829.jpg,so flower st.,flower,637,"307
607",white
00815.jpg,s. flowpr,flower,308,19 2nd floor rear,white
00823.jpg,s. flower,flower,318,"32, 3r/floor con",white
00834.jpg,flower,flower,219,9171,white
00844.jpg,so flower st.,flower,237,h,white
00845.jpg,s. flower,flower,306,"24, 3r9 floor.",white
00842.jpg,so. flower,flower,517-519,305,white
00841.jpg,flowers,flower,219,204,white
00839.jpg,flower,flower,219,501,white
00837.jpg,50. flower,flower,210,apt # 411,white
00840.jpg,so flower st.,flower,"246
r",pasement 1300,white
00847.jpg,flower,flower,219,211,white
00835.jpg,so. flower st.,flower,227,,white
00833.jpg,so. flower st,flower,247-51,"he
777",white
00846.jpg,so flower.,flower,1051,apt. no.5-1st floo,white
00849.jpg,so. flower st,flower,245,4127,white
00856.jpg,so. flower st.,flower,245,,white
00859.jpg,so.flower,flower,210,"apt
114",white
00862.jpg,so. flower,flower,247-51,307,white
00857.jpg,so.flower,flower,210,apt. 203,white
00850.jpg,50. flower st,flower,236,"apt#30
3rd floor",white
00852.jpg,so. flower,flower,247-57,2009,white
00858.jpg,sp. floweet.,flower,23,"105
905",white
00853.jpg,flower,flower,219,,white
00860.jpg,so flower,flower,210,,white
00864.jpg,so. flower st,flower,7.00E+23,m,mexican
00867.jpg,so. flower,flower,247-51,30.5,white
00873.jpg,so. flower,flower,517-519,"212
24 floor",white
00871.jpg,50. flower,flower,,apt 407,white
00865.jpg,s. flower,flower,336,"306,
3rd floor",white
00872.jpg,sp. flower st.,flower,237,"4
104",white
00869.jpg,so. flower,flower,517-519,"102
1st floor",white
00863.jpg,so. flower st,flower,236,apt #21,white
00870.jpg,"do.
flower",flower,103,"apt. no.
ne.",white
00866.jpg,so flower,flower,2045,bete,white
00882.jpg,so. flower st.,flower,237,,white
00874.jpg,flower,flower,219,408,white
00879.jpg,flower se,flower,219,103,white
00878.jpg,so. flower st,flower,63,"3
6
4125",white
00881.jpg,so. flower.,flower,bel,toom no. 4- 2nd floe,white
00888.jpg,flower se,flower,219,202,white
00876.jpg,"so. flower
st",flower,236,apt. # 7,white
00889.jpg,so flower sf.,flower,245,"ng
bo
412",white
00884.jpg,50. flower,flower,230,"apt. #
(1",white
00877.jpg,30. flower,flower,-210,apt #214,white
00886.jpg,sp. flowe - st.,flower,237,"309
607",white
00875.jpg,"so. flower
st",flower,-298,"801
f
hf",white
00895.jpg,so flower,flower,10942,room no.4 - 2nd,white
00887.jpg,flower se,flower,219,213,white
00894.jpg,so. flower,flower,517-519,"309
3d floor",white
00893.jpg,so flower,flower,129,"1st floor
ou",white
00898.jpg,"s. flower
n",flower,330,no con = 41,white
00897.jpg,50. flower,flower,,7,white
00903.jpg,so. flower st,flower,236,/-st. floor. apt. fi,white
00900.jpg,"s.flower
s",flower,336,"308, 3rg floor",white
00901.jpg,so. flower,flower,230,"apt. #
27",white
00902.jpg,50. flower,flower,210,"apt
4/0
475",white
00905.jpg,s. flower,flower,330,15 = 2nd floor contor,white
00907.jpg,so flower st.,flower,223,,white
00906.jpg,so. flower,flower,,ce 44,white
00904.jpg,so. flower,flower,247-57,"15
4152",white
00908.jpg,so flower st,flower,236,"apt #4
2nd floor",white
00911.jpg,so-flower,flower,230,apt # 13,white
00910.jpg,flower,flower,219,210,white
00913.jpg,so. flower,flower,517-519,"36
troph",white
00912.jpg,50. flower,flower,210,apt. 2/7,white
00909.jpg,so. flower,flower,224,"apt
y
11458",white
00914.jpg,80. i lower.,flower,105/2,(toom no 3-1st floo.,white
00919.jpg,so. flower,flower,230,apt. #60,white
00915.jpg,so. flower st,flower,245,"+
44
4133",white
00922.jpg,so. flower,flower,2047-51,202,white
00918.jpg,so. flower st,flower,,,white
00921.jpg,so. flower,flower,115,"1st. floor sant.
auth",white
00917.jpg,50. flower,flower,dic,apt 303,white
00924.jpg,so. flower st,flower,,,white
00923.jpg,90.flower st.,flower,234,"apt.
35",white
00925.jpg,so. flower,flower,ote,apt 403,white
00928.jpg,so. flower-st.,flower,238,"apt#1
and for",white
00931.jpg,s. flower,flower,330,"23= 2ns floor roa
2h",white
00930.jpg,so. flower st.,flower,545,"16
412",white
00926.jpg,so flower,flower,247-251,312,white
00927.jpg,flower,flower,219,,white
00934.jpg,so. flower,flower,224,apt 19 a,white
00932.jpg,so flower st.,flower,237,"303
403",white
00933.jpg,flower se,flower,219,216,white
00939.jpg,so. flower,flower,517-519,"207
24 (foor",white
00935.jpg,so. flower.,flower,101,ist. floor north,mexican
00938.jpg,so.flower,flower,210,apt # 513,white
00940.jpg,so. flower,flower,230,"apt #
39",white
00944.jpg,s. flower,flower,318,8. first floor rear.,white
00943.jpg,sq. flower,flower,224,apt. #8,white
00950.jpg,comotes,west,318,foot be of,white
00945.jpg,so. flower st.,flower,223,,white
00942.jpg,flower st,flower,219,316,white
00946.jpg,so. flower,flower,236,"apt 28
in",white
00951.jpg,"s. flower
s",flower,336,"""not footst
103=",white
00952.jpg,so.flower,flower,310,907,white
00953.jpg,so flower st.,flower,245,"3
41",white
00949.jpg,s. flower,flower,318,37 3rd floor con,white
00948.jpg,so. flower st.,flower,2.37,"205
407",white
00954.jpg,so. flower st,flower,246,apt. # 4 - 2nd flow,white
00961.jpg,"s. flower
n",flower,330,"44= 3rd floor, rear",white
00955.jpg,flower str,flower,219,303,white
00957.jpg,so. flower st.,flower,2 3,406,white
00958.jpg,so flower,flower,517-519,77,white
00967.jpg,s. flower,flower,318,19. 2nd floor cenle,white
00964.jpg,so flower st,flower,236,"apt #2
1
2nd flook",white
00965.jpg,so. flower,flower,210,apt. 315,white
00960.jpg,so. flower st.,flower,37,107,white
00959.jpg,so.flower,flower,210,apt 508.,white
00963.jpg,s. flower,flower,306,"6,
2nd floor east
t",white
00966.jpg,flower st.-,flower,219,204,white
00956.jpg,so. flower str,flower,237,"2010
402",white
00962.jpg,so. flower,flower,230,"apt.#
4.",white
00974.jpg,so. flowe's. st.,flower,,"3/0a
13",white
00969.jpg,so. flower se,flower,247-51,"9btb
fill",white
00970.jpg,so. flower.,flower,115,"ind. floor.
south",white
00972.jpg,"s. flower
s",flower,330,"62= 4th floor, reabo.",mexican
00979.jpg,jo. flower,flower,137,,white
00968.jpg,s. flower,flower,336,"309.
3rd floor",white
00983.jpg,so. flower se,flower,245,"21 b
40",white
00973.jpg,so.flower,flower,330,"251
hpt. # 2.",white
00975.jpg,s. flower,flower,330,42= 3 r4 floor rear,oriental
00989.jpg,sp. flower st.,flower,2037,"zell
4078",white
00982.jpg,flower st,flower,219,208,white
00988.jpg,flower,flower,biz,boti,white
00976.jpg,so. flower se,flower,245,20 le,white
00984.jpg,so. flower,flower,ore,307,white
00990.jpg,so. flower st,flower,19-he,106,white
00985.jpg,so. flower,flower,223,,white
00993.jpg,"so. flower
st.",flower,236,"apt #38
4th fl",white
00995.jpg,so. flower st,flower,245,"3%
4122",white
00980.jpg,so. flower.,flower,115,"2nd, food.",white
00991.jpg,s. flowcr,flower,336,"314,
3rd floor",white
00992.jpg,jo. i lower,flower,105,toom no. 2-2~² floof,white
00981.jpg,50. flower,flower,230,apt # 16,white
00997.jpg,so. flower,flower,224,apt. 18 a.,white
00998.jpg,so. flower,flower,ote,apt 316,white
01004.jpg,flower se,flower,2019,318,white
01006.jpg,"s. flowpr
s
150",flower,336,"204 2nd floor.
=",white
01000.jpg,"50. flower
st",flower,242,apt. #3,white
00999.jpg,so. flower,flower,247-51,301,white
01005.jpg,so. flower,flower,247-51,310,white
01002.jpg,so. flower,flower,72,"apt 30
cl",white
01001.jpg,so flower st,flower,,,white
01003.jpg,s.flo wor,flower,318,22-2nd floor rear.,white
01014.jpg,so. flower st,flower,247-51,70/,
01016.jpg,"so. flower
st",flower,242,"apt. #
2
2nd flowe",
01010.jpg,so flower,flower,517-619,"203
24 floor",white
01007.jpg,flower st,flower,219,517,white
01013.jpg,so. flower,flower,517-519,"202
24
floor",
01008.jpg,"s. flower.
s",flower,336,"302=
hote",white
01011.jpg,flower se,flower,219,305,
01017.jpg,flower se,flower,219,511,
01015.jpg,s.flower,flower,318,"27, 2n
floor fron",
01026.jpg,0 flowe,flower,105,"room no.1
fron",
01030.jpg,20. flower,flower,210,apt 309,
01028.jpg,flower,flower,219,410,
01032.jpg,so.flower st.,flower,236,"apt. #
le
hy",
01018.jpg,pos,west,,apt 310,
01021.jpg,30.flower st,flower,236,"apt 20
the",
01023.jpg,so. flower,flower,,102,
01031.jpg,#NAME?,flower,3,apt # 36,
01033.jpg,s. flower,flower,330,"32= 3r floor, conic",
01019.jpg,so. flower,flower,223,,
01024.jpg,so. flower,flower,247-37,302,
01022.jpg,s. flower,flower,318,21.2 nd floor rpar..,
01043.jpg,90.flower,flower,224,apt 27,
01029.jpg,so. flower st,flower,230,apt # 30,
01027.jpg,so flower sf,flower,237,"7
404",
01041.jpg,flower,flower,,2nd. flood front.,
01045.jpg,so flower st,flower,237,"318
410:",
01046.jpg,flower se,flower,219,107,
01048.jpg,"s
o.
flower",flower,119,apt. no. 1- south,
01034.jpg,flower,flower,219,306,
01038.jpg,so. flower se,flower,she,"38⁰
4130",
01036.jpg,"flower
#",flower,√219,105,
01035.jpg,so. flower,flower,224,apt. 2 a,
01050.jpg,"s. flower
in",flower,330,8-10. = 2nd floor fre,
01049.jpg,so. flower,flower,230,"apt #
15",
01057.jpg,so. flower,flower,517-519,"wiffer
607",
01039.jpg,so. i lower,flower,137% rece,rear.,
01055.jpg,so.. flower,flower,,apt. 316 a 197,
01054.jpg,so flower.st,flower,236,"ist. floor
apt",
01068.jpg,#NAME?,flower,224,"apt. 16.
h",
01059.jpg,so. flower st,flower,246,apt #3 -2nd flow,
01066.jpg,so. flower st.,flower,247-51,cot,
01060.jpg,so. i lower,flower,345,good on,
01052.jpg,50. flower,flower,230,apt # 29,
01051.jpg,so. flower st.,flower,237,"2014
4080",
01062.jpg,s. flower,flower,336,#NAME?,
01063.jpg,so. flower,flower,210,107,
01053.jpg,so. flower st,flower,247-51,"115
btb",
01058.jpg,so. flower,flower,210,apt 507,
01072.jpg,s.flower,flower,318,29. 3rd floor fron,
01067.jpg,s. flower,flower,318,"38, 3.
•floor con",
01073.jpg,so.flower,flower,78,201,
01078.jpg,so. flower,flower,517-519,206,
01076.jpg,flower.,flower,105,room no. 5-2 floor,
01070.jpg,so. flower,flower,230,apt. # 40,
01077.jpg,50. flower,flower,210,"apt.
511",
01074.jpg,so. flower st,flower,237,"203
4069",
01064.jpg,"so, flower st",flower,230,"apt #
37",
01065.jpg,s. flower,flower,318,non for be,
01071.jpg,"so. flower
st",flower,248-250,"apt #2
1st flor",
01082.jpg,so. flower,flower,214-212,214-15t. floor,
01069.jpg,so. flower sf.,flower,245,"48
4133",
01081.jpg,"s. flower
s",flower,330,"22= 2nd floor, real",
01088.jpg,so flower,flower,230,"apt.
7",
01087.jpg,so. flower st.,flower,,,
01090.jpg,so. i lower.,flower,113,2nd. i loor.,
01084.jpg,"50
flower st",flower,248-250,"apt #6
and the",
01085.jpg,50. flower,flower,12,apt. 403,
01092.jpg,so. flower st.,flower,237,"320
410",
01080.jpg,so flower,flower,224,"apt 9
143",
01086.jpg,fotos,flower,ote,"apt
302",
01101.jpg,s. flower,flower,336,405 4:floor. contor,
01100.jpg,flower se,flower,219,507,
01096.jpg,so flower.st,flower,248-250,"apt #3
2nd flors.",
01104.jpg,"s. flower
m",flower,336,"foote
die",
01102.jpg,so. flower,flower,247-51,"2014
415",
01093.jpg,so flower,flower,517-519,"303
3d floor",
01105.jpg,flower,flower,219,"41
4040",
01097.jpg,so. flower st.,flower,237,"316
4103",
01095.jpg,s. flower,flower,306,"25, 3, floor
3, floor nort-",
01107.jpg,so. flower,flower,210,apt. 505,
01094.jpg,"o
flower",flower,105%2,room no. 2-1st floof,
01103.jpg,so. flower,flower,2047-51,201,
01091.jpg,flower se,flower,219,205,
01109.jpg,so. flower st.,flower,23,"977
406",
01106.jpg,"so, flower",flower,517-519,"200
29 flomm",
01108.jpg,so.flower,flower,210,apt. 20,
