index,street_raw,street,race_of_household
00276.jpg,west decond,west,white
00254.jpg,so. fluver,flower,white
00258.jpg,south flower,flower,white
00267.jpg,flower,flower,white
00278.jpg,so. flower.,flower,white
00264.jpg,west first.,west,white
00286.jpg,so. flower,flower,white
00285.jpg,so. i lover,flower,white
00263.jpg,flower,flower,white
00281.jpg,west second.,west,white
00260.jpg,"i
lower.",flower,white
00257.jpg,flower,flower,white
00270.jpg,"so. i lower.
e",flower,white
00266.jpg,10. flower,flower,white
00280.jpg,west second,west,white
00289.jpg,west second.,west,white
00290.jpg,west second.,west,white
00287.jpg,west second,west,white
00293.jpg,so. flower,flower,white
00292.jpg,-west second.,west,white
00295.jpg,west second,west,white
00291.jpg,west second,west,white
00296.jpg,do. ilower,flower,white
00310.jpg,flower.,flower,white
00302.jpg,lower,flower,white
00318.jpg,flower,flower,white
00320.jpg,so. i lowe,flower,white
00299.jpg,so. flower,flower,white
00314.jpg,west second.,west,white
00307.jpg,,west,white
00311.jpg,so. i lower.,flower,white
00327.jpg,so. flower,flower,white
00308.jpg,south flower,flower,white
00315.jpg,so. i lower.,flower,mexican
00326.jpg,west second,west,white
00316.jpg,flowe,flower,white
00325.jpg,south flower,flower,white
00309.jpg,10. flower,flower,white
00321.jpg,west second,west,white
00304.jpg,so. flower,flower,white
00313.jpg,so. flower.,flower,white
00303.jpg,west second,west,white
00298.jpg,so. flower,flower,white
00301.jpg,flower,flower,white
00322.jpg,,west,white
00323.jpg,sa. flower,flower,mexican
00324.jpg,west second,west,white
00306.jpg,west second.,west,white
00312.jpg,west second,west,white
00305.jpg,as. flower,flower,white
00317.jpg,so. i lower.,flower,white
00300.jpg,ve,west,white
00331.jpg,west second,west,white
00329.jpg,west decond,west,white
00328.jpg,do. i lower.,flower,white
00359.jpg,to. flower,flower,white
00352.jpg,i lover,flower,white
00346.jpg,so. flower,flower,white
00358.jpg,west second,west,white
00339.jpg,so. i lover,flower,white
00345.jpg,so. i lower,flower,white
00357.jpg,so. flower,flower,white
00338.jpg,so. fluver,flower,white
00335.jpg,west zirst.,west,white
00351.jpg,jo. flower,flower,oriental
00354.jpg,flower,flower,white
00342.jpg,flower,flower,white
00336.jpg,"le
flower",flower,white
00362.jpg,swe,west,white
00356.jpg,west first.,west,white
00350.jpg,west first,west,white
00334.jpg,south flower,flower,white
00348.jpg,jo. i lower.,flower,white
00333.jpg,so. i lower,flower,white
00355.jpg,,west,white
00332.jpg,do. flower.,flower,mexican
00344.jpg,"i
lower.",flower,white
00340.jpg,west second,west,white
00363.jpg,so. flower,flower,white
00337.jpg,west second,west,white
00361.jpg,so. flower,flower,white
00343.jpg,"1o.
flower",flower,white
00349.jpg,"so. i love
ver",flower,white
00360.jpg,so. i lower.,flower,white
00341.jpg,so. flower,flower,white
00353.jpg,so. flower,flower,white
00347.jpg,west second.,west,white
00369.jpg,west second.,west,white
00368.jpg,so. i lower,flower,white
00364.jpg,"so. i lower.
e",flower,white
00366.jpg,so. flower,flower,white
00365.jpg,west second,west,white
00386.jpg,so. i lower,flower,white
00393.jpg,west first,west,white
00390.jpg,flower,flower,white
00397.jpg,west first,west,oriental
00394.jpg,west first,west,white
00377.jpg,i lower,flower,white
00382.jpg,flower,flower,white
00392.jpg,flower,flower,white
00389.jpg,-west second.,west,white
00396.jpg,so. figueroa,figueroa,white
00387.jpg,so. flower,flower,mexican
00372.jpg,i low,flower,white
00380.jpg,so. i lower.,flower,white
00371.jpg,so. flower,flower,white
00376.jpg,so. flower,flower,white
00383.jpg,flower,flower,white
00374.jpg,west second,west,white
00395.jpg,fo. figueroa,figueroa,white
00381.jpg,so. i lower,flower,white
00379.jpg,do. flower.,flower,white
00378.jpg,"so
flo",flower,white
00370.jpg,so. flower.,flower,white
00375.jpg,do. flower,flower,white
00384.jpg,10. i lower,flower,white
00391.jpg,west second.,west,white
00373.jpg,do. i lower,flower,white
00385.jpg,so. ilan,bunker hill ave,white
00401.jpg,west first,west,white
00399.jpg,-west first,west,white
00402.jpg,do. figueroa.,figueroa,white
00400.jpg,west first,west,white
00398.jpg,so. digueroa.,figueroa,white
00403.jpg,so. digueroo.,figueroa,white
00417.jpg,west first,west,white
00424.jpg,west first.,west,mexican
00428.jpg,"10. figueron.
o.",figueroa,white
00408.jpg,west first.,west,white
00423.jpg,digueroa,figueroa,white
00420.jpg,so. digueroa,figueroa,oriental
00410.jpg,west first,west,white
00414.jpg,west first,west,mexican
00409.jpg,do. sigueroa,figueroa,white
00430.jpg,so. diqueron,figueroa,white
00426.jpg,west first.,west,white
00421.jpg,west first,west,white
00415.jpg,west first,west,white
00431.jpg,west first,west,white
00404.jpg,so. figueroa,figueroa,white
00411.jpg,30. figueroa.,figueroa,white
00405.jpg,so. fiqueroa.,figueroa,white
00413.jpg,so. fiqueroa.,figueroa,white
00427.jpg,west first,west,white
00407.jpg,"west
first",west,white
00422.jpg,west first,west,white
00419.jpg,west dicat.,west,white
00406.jpg,west first,west,white
00429.jpg,west first,west,oriental
00434.jpg,west first.,west,white
00416.jpg,west first,west,white
00418.jpg,weat first,west,mexican
00436.jpg,so. fiqueron.,figueroa,mexican
00432.jpg,west first,west,white
00425.jpg,50. figueroa.,figueroa,white
00412.jpg,so. diqueron,figueroa,white
00435.jpg,west first.,west,white
00438.jpg,west first,west,white
00437.jpg,west first.,west,oriental
00439.jpg,5o. figueroa.,figueroa,white
00440.jpg,west first,west,white
00462.jpg,west first,west,white
00451.jpg,west first.,west,white
00441.jpg,so. digueroa.,figueroa,white
00461.jpg,west first,west,white
00453.jpg,west first,west,white
00452.jpg,west first,west,white
00471.jpg,so. figueroa,figueroa,white
00464.jpg,west first,west,white
00463.jpg,10. digueroa.,figueroa,white
00473.jpg,west first,west,white
00467.jpg,west first,west,white
00447.jpg,west first,west,white
00450.jpg,-west first,west,mexican
00457.jpg,west first.,west,white
00469.jpg,west first,west,white
00448.jpg,so. fiqueroa.,figueroa,white
00472.jpg,west fiest,west,white
00442.jpg,west first,west,white
00465.jpg,west first,west,white
00460.jpg,west first,west,white
00468.jpg,50. figueroa.,figueroa,white
00456.jpg,west first,west,mexican
00446.jpg,so. fiqueroa.,figueroa,white
00455.jpg,west first.,west,white
00454.jpg,west first,west,white
00459.jpg,west first,west,white
00466.jpg,so. idqueroa.,figueroa,white
00443.jpg,west first,west,mexican
00470.jpg,so. figueroa,figueroa,white
00445.jpg,west first,west,mexican
00458.jpg,so. fiqueroa.,figueroa,white
00449.jpg,west dirst.,west,white
00474.jpg,west first.,west,white
00475.jpg,west first.,west,white
00476.jpg,so. digueroa,figueroa,white
00477.jpg,west first,west,white
00478.jpg,west first,west,white
00479.jpg,so. figueroa.,figueroa,white
00490.jpg,west first,west,oriental
00504.jpg,"west.
first",west,white
00480.jpg,west first,west,white
00486.jpg,west first,west,white
00499.jpg,west first,west,white
00485.jpg,west first,west,mexican
00497.jpg,"west
irst",west,white
00496.jpg,flower,flower,white
00487.jpg,west firat.,west,white
00489.jpg,so. figueroa,figueroa,white
00488.jpg,so. figueroa.,figueroa,white
00502.jpg,so. flower.,flower,white
00494.jpg,1o. figueroa,figueroa,white
00503.jpg,west first,west,mexican
00508.jpg,figueroa,figueroa,white
00500.jpg,so. flower,flower,white
00491.jpg,so. fiqueron,figueroa,white
00505.jpg,first,figueroa,white
00495.jpg,west first.,west,white
00492.jpg,west first,west,white
00484.jpg,-west first,west,mexican
00483.jpg,digueroa,figueroa,white
00498.jpg,flower,flower,white
00509.jpg,so. flower,flower,white
00501.jpg,so 7 lower,flower,white
00493.jpg,so. flower,flower,white
00482.jpg,west first,west,oriental
00507.jpg,flower.,flower,white
00481.jpg,west first,west,mexican
00506.jpg,west first,west,white
00510.jpg,"west
first",west,white
00511.jpg,jo. i lower,flower,white
00513.jpg,so. flower.,flower,mexican
00514.jpg,west first,west,white
00512.jpg,west first,west,white
00522.jpg,0. flowe,flower,white
00532.jpg,do. fiqueroa,figueroa,white
00528.jpg,"so
lower.",flower,white
00543.jpg,flower,flower,mexican
00523.jpg,figueroa,figueroa,oriental
00520.jpg,so. flower,flower,white
00524.jpg,west first.,west,white
00540.jpg,"west.
first",west,white
00545.jpg,west first.,west,white
00517.jpg,"west
first",west,white
00548.jpg,po flower.,flower,white
00519.jpg,so. figueroa.,figueroa,white
00538.jpg,i lower,flower,white
00541.jpg,so flower.,flower,white
00539.jpg,west first,west,white
00537.jpg,west first.,west,white
00521.jpg,west first,west,white
00549.jpg,west first,west,white
00525.jpg,so. flower,flower,white
00533.jpg,flower.,flower,white
00531.jpg,west first,west,white
00529.jpg,west first,west,white
00534.jpg,west first,west,white
00527.jpg,lower.,flower,white
00535.jpg,so. diqueroa.,figueroa,mexican
00516.jpg,so. flower,flower,white
00546.jpg,lower,flower,white
00515.jpg,so figueroa.,figueroa,white
00526.jpg,west first,west,white
00542.jpg,west first,west,white
00547.jpg,west first,west,white
00554.jpg,so. i lower.,flower,white
00551.jpg,so. figueroa.,figueroa,white
00557.jpg,figuero,figueroa,white
00553.jpg,so. i lower.,flower,white
00550.jpg,"0
flower",flower,white
00556.jpg,so flower,flower,white
00552.jpg,so. i lewer.,flower,white
00555.jpg,5o. i lower.,flower,white
00536.jpg,6. flowe,flower,mexican
00570.jpg,"flow
ower",flower,white
00558.jpg,eo. i lower.,flower,white
00571.jpg,west first.,west,white
00567.jpg,west first,west,white
00574.jpg,so flower,flower,white
00564.jpg,"west
first",west,white
00561.jpg,west first,west,white
00573.jpg,so. figueroa.,figueroa,white
00576.jpg,flower.,flower,white
00579.jpg,so. i lower.,flower,white
00577.jpg,west first,west,white
00565.jpg,west first,west,white
00578.jpg,flower.,flower,white
00568.jpg,"2 flower
7",flower,white
00559.jpg,"""west first.",west,white
00589.jpg,west first,west,white
00581.jpg,west first.,west,white
00569.jpg,west first,west,white
00583.jpg,flower,flower,white
00586.jpg,"so, flower",flower,white
00585.jpg,flower,flower,white
00588.jpg,"so. fiqueron.
7",figueroa,white
00575.jpg,80 flower,flower,white
00563.jpg,so. hower.,flower,mexican
00582.jpg,so. i lower.,flower,white
00584.jpg,west first,west,white
00587.jpg,jo. flower,flower,white
00566.jpg,so. i lower.,flower,white
00580.jpg,"west
first",west,white
00562.jpg,so. flower,flower,white
00572.jpg,"west
first",west,white
00560.jpg,10. flowe,flower,white
00591.jpg,so. ilawver.,flower,white
00594.jpg,s. clay,clay,white
00590.jpg,west first,west,white
00596.jpg,clay,clay,white
00593.jpg,"so, i lower.",flower,white
00607.jpg,,west,white
00595.jpg,hers,west,white
00623.jpg,clay,clay,white
00610.jpg,chay,clay,white
00600.jpg,clay,clay,white
00602.jpg,clay,clay,white
00599.jpg,chay,clay,white
00615.jpg,s. clay,clay,white
00618.jpg,clay,clay,white
00622.jpg,s. clay,clay,white
00597.jpg,clay,clay,white
00617.jpg,clay,clay,white
00592.jpg,west first,west,white
00603.jpg,s. clay,clay,white
00614.jpg,s. clay,clay,white
00605.jpg,clay,clay,white
00609.jpg,clay,clay,white
00608.jpg,chay,clay,white
00619.jpg,clay,clay,white
00611.jpg,2/2,west,white
00620.jpg,the 15,hope,white
00626.jpg,clay,clay,white
00621.jpg,clay,clay,white
00625.jpg,clay,clay,white
00624.jpg,clay,clay,white
00616.jpg,clay,clay,white
00613.jpg,"clay
(south",clay,white
00628.jpg,clay,clay,white
00612.jpg,clay,clay,white
00606.jpg,clay,clay,white
00627.jpg,hoto,hope,white
00632.jpg,@bay,clay,white
00633.jpg,clay,clay,white
00634.jpg,clay,clay,white
00638.jpg,chay,clay,white
00641.jpg,clay st.,clay,white
00646.jpg,chay,clay,white
00636.jpg,chay,clay,white
00639.jpg,chax,clay,white
00645.jpg,"chay
l",clay,white
00635.jpg,clay,clay,white
00643.jpg,clay,clay,white
00642.jpg,clay,clay,white
00647.jpg,clay,clay,white
00637.jpg,clay,clay,white
00640.jpg,clay,clay,white
00652.jpg,chay,clay,white
00649.jpg,clay,clay,white
00653.jpg,clay,clay,white
00651.jpg,clay,clay,white
00648.jpg,clay,clay,white
00665.jpg,chay,clay,white
00660.jpg,clay st.,clay,white
00667.jpg,clay,clay,white
00662.jpg,clay,clay,white
00669.jpg,clay,clay,white
00656.jpg,help,hope,white
00654.jpg,chay,clay,white
00655.jpg,clay st.,clay,white
00661.jpg,clay,clay,white
00657.jpg,clay,clay,white
00668.jpg,chay,clay,white
00663.jpg,chay,clay,white
00666.jpg,hep,hope,white
00670.jpg,heto,west,white
00659.jpg,chay,clay,white
00658.jpg,teto,west,white
00664.jpg,clay,clay,white
00683.jpg,10. flowve,flower,
00692.jpg,so. figueroa,figueroa,
00674.jpg,clay,clay,white
00673.jpg,clay,clay,white
00680.jpg,clay,clay,white
00677.jpg,clay,clay,white
00682.jpg,so. fiqueron.,figueroa,
00676.jpg,clay,clay,white
00672.jpg,chay,clay,white
00678.jpg,chay,clay,white
00675.jpg,s. clay,clay,white
00679.jpg,clay,clay,white
00689.jpg,alpine st,west,
00671.jpg,chay,clay,white
00681.jpg,so. hower,flower,
00693.jpg,figueroa,figueroa,
00695.jpg,"sflower,",flower,white
00696.jpg,30. flower,flower,white
00694.jpg,50.flower,flower,white
00704.jpg,so. flower,flower,white
00698.jpg,flower st,flower,white
00702.jpg,so. flower,flower,white
00701.jpg,s.flower,flower,white
00700.jpg,so. flowery se,flower,white
00699.jpg,so flower st,flower,white
00706.jpg,flower,flower,white
00705.jpg,0.,west,white
00708.jpg,so. flower,flower,white
00709.jpg,50. flower,flower,white
00711.jpg,so.flower,flower,white
00710.jpg,5o. flower.,flower,white
00707.jpg,flower,flower,white
00723.jpg,so flower,flower,white
00719.jpg,s. flower,flower,white
00724.jpg,so. flower st.,flower,white
00720.jpg,so flower,flower,white
00718.jpg,flower se,flower,white
00713.jpg,so. flower,flower,white
00729.jpg,so. flower st.,flower,white
00726.jpg,"so, i lower.",flower,white
00728.jpg,mops,hope,white
00730.jpg,so. flower,flower,white
00725.jpg,so. flower,flower,white
00717.jpg,50. flower,flower,white
00712.jpg,s. flower,flower,white
00721.jpg,so. flower st.,flower,white
00722.jpg,"s.flower
s",flower,white
00715.jpg,so. flower st.,flower,white
00731.jpg,sa flower st,flower,white
00732.jpg,so. flower,flower,white
00734.jpg,so. flower st,flower,white
00737.jpg,so. flower st,flower,white
00740.jpg,so. flower,flower,white
00744.jpg,"so. flower, st.",flower,white
00738.jpg,30. flower st.,flower,white
00735.jpg,flower se,flower,white
00733.jpg,s.flower,flower,white
00736.jpg,so. flower str,flower,white
00745.jpg,so. flower,flower,white
00748.jpg,so. flower. st.,flower,white
00743.jpg,sa flowe st.,flower,white
00747.jpg,so. flower,flower,white
00746.jpg,soflower,flower,white
00741.jpg,flower str,flower,white
00752.jpg,50. flower,flower,white
00753.jpg,so. i lower.,flower,white
00751.jpg,so. flowe. st,flower,white
00749.jpg,flower st,flower,white
00750.jpg,50. flower,flower,white
00755.jpg,so. flower,flower,white
00757.jpg,so. flower st.,flower,white
00756.jpg,s. flower,flower,white
00760.jpg,so. flower,flower,white
00758.jpg,"-so. flower
st",flower,white
00764.jpg,50. flower st,flower,white
00762.jpg,so. flower st,flower,white
00767.jpg,so. flowej st.,flower,white
00765.jpg,flowers,flower,white
00759.jpg,so. flow r,flower,white
00766.jpg,so. flower st.,flower,white
00761.jpg,"s. flower
n",flower,white
00772.jpg,"so, flower",flower,white
00776.jpg,s. flower,flower,white
00788.jpg,"s. flower
s",flower,white
00774.jpg,s.flower,flower,
00783.jpg,so. flower st,flower,white
00789.jpg,so. flower st,flower,white
00787.jpg,flower se,flower,white
00779.jpg,so. flower s,flower,white
00780.jpg,so. flower,flower,white
00790.jpg,flower se,flower,white
00778.jpg,30 flower st,flower,white
00773.jpg,sd. fhower,flower,white
00771.jpg,s. flower,flower,white
00770.jpg,s. flower,flower,white
00785.jpg,so.flower,flower,white
00782.jpg,flower,flower,white
00791.jpg,so. flower st.,flower,white
00784.jpg,so. flower st.,flower,white
00775.jpg,so. flower,flower,white
00769.jpg,so. flower,flower,white
00799.jpg,ilower.,flower,white
00800.jpg,sp. flower sf,flower,white
00798.jpg,so. flower,flower,white
00801.jpg,so. flower,flower,white
00794.jpg,bo.flower,flower,white
00792.jpg,"selower
s",flower,white
00793.jpg,so. flower st.,flower,white
00802.jpg,so.flower,flower,white
00795.jpg,so. flower,flower,white
00797.jpg,"so
flower",flower,white
00805.jpg,so. flower,flower,white
00803.jpg,so. flower st,flower,white
00809.jpg,s. flower,flower,white
00806.jpg,so. flower st.,flower,white
00814.jpg,s. flower,flower,white
00811.jpg,"so.flo wer
st",flower,white
00808.jpg,flower f,flower,white
00823.jpg,s. flower,flower,white
00822.jpg,"so. flower
s.t.",flower,white
00815.jpg,s. flowpr,flower,white
00839.jpg,flower,flower,white
00819.jpg,so. flower st.,flower,white
00840.jpg,so flower st.,flower,white
00827.jpg,so. flower st,flower,white
00837.jpg,50. flower,flower,white
00825.jpg,so. flower,flower,white
00831.jpg,so. flower,flower,white
00832.jpg,s. flowcr,flower,white
00845.jpg,s. flower,flower,white
00818.jpg,s. flower,flower,white
00820.jpg,"s. flow cr
v",flower,white
00828.jpg,50. flower st,flower,white
00835.jpg,so. flower st.,flower,white
00816.jpg,s. flower,flower,white
00841.jpg,flowers,flower,white
00810.jpg,so. flower st.,flower,white
00813.jpg,s. flower.,flower,white
00844.jpg,so flower st.,flower,white
00817.jpg,"50.flower
st",flower,white
00829.jpg,so flower st.,flower,white
00834.jpg,flower,flower,white
00833.jpg,so. flower st,flower,white
00842.jpg,so. flower,flower,white
00821.jpg,flower sf,flower,white
00846.jpg,so flower.,flower,white
00849.jpg,so. flower st,flower,white
00847.jpg,flower,flower,white
00857.jpg,so.flower,flower,white
00858.jpg,sp. floweet.,flower,white
00850.jpg,50. flower st,flower,white
00852.jpg,so. flower,flower,white
00853.jpg,flower,flower,white
00859.jpg,so.flower,flower,white
00856.jpg,so. flower st.,flower,white
00869.jpg,so. flower,flower,white
00867.jpg,so. flower,flower,white
00860.jpg,so flower,flower,white
00866.jpg,so flower,flower,white
00870.jpg,"do.
flower",flower,white
00863.jpg,so. flower st,flower,white
00865.jpg,s. flower,flower,white
00862.jpg,so. flower,flower,white
00864.jpg,so. flower st,flower,mexican
00871.jpg,50. flower,flower,white
00877.jpg,30. flower,flower,white
00898.jpg,"s. flower
n",flower,white
00887.jpg,flower se,flower,white
00878.jpg,so. flower st,flower,white
00874.jpg,flower,flower,white
00889.jpg,so flower sf.,flower,white
00888.jpg,flower se,flower,white
00875.jpg,"so. flower
st",flower,white
00876.jpg,"so. flower
st",flower,white
00881.jpg,so. flower.,flower,white
00873.jpg,so. flower,flower,white
00893.jpg,so flower,flower,oriental
00884.jpg,50. flower,flower,white
00872.jpg,sp. flower st.,flower,white
00886.jpg,sp. flowe - st.,flower,white
00882.jpg,so. flower st.,flower,white
00895.jpg,so flower,flower,white
00879.jpg,flower se,flower,white
00894.jpg,so. flower,flower,white
00900.jpg,"s.flower
s",flower,white
00897.jpg,50. flower,flower,white
00901.jpg,so. flower,flower,white
00908.jpg,so flower st,flower,white
00906.jpg,so. flower,flower,white
00914.jpg,80. i lower.,flower,white
00913.jpg,so. flower,flower,white
00907.jpg,so flower st.,flower,white
